"Notes"	"Leading Cancer Sites"	"Leading Cancer Sites Code"	"Year"	"Year Code"	"States"	"States Code"	Count
	"Brain and Other Nervous System"	"31010-31040"	"2000"	"2000"	"Alabama"	"01"	296
	"Brain and Other Nervous System"	"31010-31040"	"2000"	"2000"	"Alaska"	"02"	32
	"Brain and Other Nervous System"	"31010-31040"	"2000"	"2000"	"Arizona"	"04"	323
	"Brain and Other Nervous System"	"31010-31040"	"2000"	"2000"	"Arkansas"	"05"	Missing
	"Brain and Other Nervous System"	"31010-31040"	"2000"	"2000"	"California"	"06"	1961
	"Brain and Other Nervous System"	"31010-31040"	"2000"	"2000"	"Colorado"	"08"	275
	"Brain and Other Nervous System"	"31010-31040"	"2000"	"2000"	"Connecticut"	"09"	292
	"Brain and Other Nervous System"	"31010-31040"	"2000"	"2000"	"Delaware"	"10"	47
	"Brain and Other Nervous System"	"31010-31040"	"2000"	"2000"	"District of Columbia"	"11"	34
	"Brain and Other Nervous System"	"31010-31040"	"2000"	"2000"	"Florida"	"12"	1371
	"Brain and Other Nervous System"	"31010-31040"	"2000"	"2000"	"Georgia"	"13"	464
	"Brain and Other Nervous System"	"31010-31040"	"2000"	"2000"	"Hawaii"	"15"	61
	"Brain and Other Nervous System"	"31010-31040"	"2000"	"2000"	"Idaho"	"16"	104
	"Brain and Other Nervous System"	"31010-31040"	"2000"	"2000"	"Illinois"	"17"	774
	"Brain and Other Nervous System"	"31010-31040"	"2000"	"2000"	"Indiana"	"18"	383
	"Brain and Other Nervous System"	"31010-31040"	"2000"	"2000"	"Iowa"	"19"	225
	"Brain and Other Nervous System"	"31010-31040"	"2000"	"2000"	"Kansas"	"20"	191
	"Brain and Other Nervous System"	"31010-31040"	"2000"	"2000"	"Kentucky"	"21"	285
	"Brain and Other Nervous System"	"31010-31040"	"2000"	"2000"	"Louisiana"	"22"	268
	"Brain and Other Nervous System"	"31010-31040"	"2000"	"2000"	"Maine"	"23"	124
	"Brain and Other Nervous System"	"31010-31040"	"2000"	"2000"	"Maryland"	"24"	358
	"Brain and Other Nervous System"	"31010-31040"	"2000"	"2000"	"Massachusetts"	"25"	526
	"Brain and Other Nervous System"	"31010-31040"	"2000"	"2000"	"Michigan"	"26"	708
	"Brain and Other Nervous System"	"31010-31040"	"2000"	"2000"	"Minnesota"	"27"	308
	"Brain and Other Nervous System"	"31010-31040"	"2000"	"2000"	"Mississippi"	"28"	Missing
	"Brain and Other Nervous System"	"31010-31040"	"2000"	"2000"	"Missouri"	"29"	408
	"Brain and Other Nervous System"	"31010-31040"	"2000"	"2000"	"Montana"	"30"	70
	"Brain and Other Nervous System"	"31010-31040"	"2000"	"2000"	"Nebraska"	"31"	123
	"Brain and Other Nervous System"	"31010-31040"	"2000"	"2000"	"Nevada"	"32"	117
	"Brain and Other Nervous System"	"31010-31040"	"2000"	"2000"	"New Hampshire"	"33"	89
	"Brain and Other Nervous System"	"31010-31040"	"2000"	"2000"	"New Jersey"	"34"	641
	"Brain and Other Nervous System"	"31010-31040"	"2000"	"2000"	"New Mexico"	"35"	103
	"Brain and Other Nervous System"	"31010-31040"	"2000"	"2000"	"New York"	"36"	1438
	"Brain and Other Nervous System"	"31010-31040"	"2000"	"2000"	"North Carolina"	"37"	515
	"Brain and Other Nervous System"	"31010-31040"	"2000"	"2000"	"North Dakota"	"38"	40
	"Brain and Other Nervous System"	"31010-31040"	"2000"	"2000"	"Ohio"	"39"	779
	"Brain and Other Nervous System"	"31010-31040"	"2000"	"2000"	"Oklahoma"	"40"	245
